Auto;car;
schreiben ;write;scribe
Garage;garage;
Haar;hair;
Faust;fist;
Buch;book;
lesen;read;
Federmappe;pencil case;
Kleber;glue;
laufen;run;
schwarz;black;
Tisch;desk;
Stuhl;chair;
Mülleimer;bin;
fragen;ask;
fhlen;feel;
hören;hear;
sprechen;speak;
zeigen;show;
spielen;play;
wichtig;important;
neu;new;
frei;free;
schlecht;bad;
richtig;right;
jung;young;
international;international;
Familie;family;
Unternehmen;company;
Nummer;number;
Leben ;life;
Punkt;point;
Schule;school;
Geschichte;story;
Zeit;time;
Arbeit;work;
arbeiten;work;
akzeptieren ;accept;
weil;because;
und;and;
zum ;to;
soeben;just;
der;the;
die;the;
das;the;
aber;but;
erhalten;get;
Dose;can;
kommen;come;
Warum ;why;
